text,true_label,pred_label,correct
Fun fact voted with PedoPrez to eliminate all southern border security.,1,1,1
What about sanctioning India which refused to condemn Russian Aggression and still still American IT jobs.,0,0,1
Joe Biden and Kamala are controlled by Zionists,1,1,1
"So far today, Wall Street seems to be reacting favorably to the absence of an insurrection. insurrectionsversary",0,0,1
The SAVE act is a danger to everyones voting rights. Please pay attention and do what you can to help stop it from passing.,0,0,1
Its not the radical left Mitch. THERE IS NO RADICAL LEFT. Its the MAJORITY.,1,1,1
You all keep using the word snowflake and cant even handle people disagreeing with you. You need Jesus.,1,1,1
"""Supreme Courts landmark verdict on Indias Preamble Upholding Socialist and Secular in the Constitution, reaffirming its living, evolving nature. ConstitutionDay2024 IndianConstitution SupremeCourt Secularism Socialism",0,0,1
"Stop ethnic cleansing, speak up fo Hazara genocide. StopHazaraGenocide",0,1,0
"Lady a, didnt they change their name to appease the woke mob?",1,1,1
Taking advantage of asylum seekers by forcing them into involuntary servitude to keep prices down. That would be very on brand.,1,1,1
The only sober person around this debate of illegal immigration is,1,0,0
Cant be a ceasefire with Russian soldiers in Ukraine,0,0,1
"Middle East crisis one child killed every hour in Gaza, UN says as it happened Highlights Israeli forces have killed a Palestinian man in a dawn raid on a refugee camp near the city of... GeneralNews Source The Guardian What do you think?",0,0,1
"Apparently, RU losses in ukraine invasion estimated to be 3000 US losses in afghanistan 20012021 are around 2400.",0,0,1
Pope Francis Condemns Reported Israeli Sniper Attack,0,0,1
Immigration Reform Plaza Olvera Los Angeles 9am February 2nd,0,0,1
Because he hasnt been charge with insurrection DUH,0,1,0
Israeli and American flags outside of KU AEPi defacedThe University Daily Kansan,0,0,1
Hanover Police Arrest Two Students,0,0,1
MAGA Republicans vs MAGA Democrats Microsoft Amazon Google Apple,0,1,0
Time for Ukraine to receive the Iron Dome. Now.,1,0,0
This is very good for community! gaza,0,0,1
It means expelling asylum seekers. SMH,0,1,0
UM students protest Israeli occupation in PalestineThe Michigan,0,0,1
Lefties failing to understand the difference between legal and illegal immigration yet again,1,1,1
DOJ wont appeal court ruling in Florida immigration,0,0,1
Most of the blue states have multiple departments where that skill set is actually respected.,0,0,1
"At Sunday Vigil, More Than 1000 Mourn Victims of Hamas",0,0,1
"""Climate events are fake news. Theyre doing this cause hes in office now"" some trump supporter, probably.",1,1,1
Dean Plocher officially joins GOP primary for Missouri,0,0,1
"DnD party to overthrow capitalism, anyone?",1,1,1
I am sure Richard Tice the property developer has a solution for where to house asylum seekers.,0,0,1
NJ survivor of Hamas attack in Israel still trying to heal,0,0,1
"""People need to know what this war really looks like"" Israeli soldiers who served in Gaza describe indiscriminate killing and the routine classification of civilian casualties as terrorists in conversations with Haaretz",1,0,0
How Florida Republicans are trying to rein,0,0,1
There are anti Zionism Jews. What of them?,0,0,1
"""Rape and murder spree"" so like, an IDF units average Tuesday in the West Bank",1,1,1
UK FOREIGN MINISTER TRUSS WE WILL ENACT LEGISLATION TO STRENGTHEN OUR HAND IN DEALING WITH RUSSIAN AGGRESSION.,0,0,1
The Electoral College is DEI for Red states.,1,1,1
"Middle East crisis live Benjamin Netanyahu travelling to Cairo for talks on Gaza ceasefire, say reports",0,0,1
Thats a translation of Zelensky fuckface,1,1,1
Last day early voting in TEXAS,0,0,1
Mike Pence has sex with his Mother,1,1,1
How many swing States wil pause counting on November 8th?,0,0,1
SF Supervisor Introduces Resolution Calling for Ceasefire in Gaza,0,0,1
"Are you seriously trying to argue that sanctioning the SA apartheid state was a bad call? What are your opinions on Rhodesia, by chance?",0,0,1
"In these times of antiimmigration paranoia, I necessary reminder of where we do come from, all of us.",0,0,1
"No, its about gun control. Strictly gun control.",0,0,1
Wow that is a wild take but yeah it does seem like some people really got carried away with that leave vote. It makes u wonder if they even thought it through or not. Multiculturalism kinda seems like a solid plan for a better future.,0,0,1
Brandeis professor mourns family killed in Israel by Hamas,0,0,1
If Mary traveled through the west bank shed run the risk of being lynched for being Jewish,1,1,1
Nazi is a subcategory of fascist,0,0,1
Please be aware that election interference has begun. This AI fabricated spam portraying you as endorsing crypto currency appeared in my FB feed this morning.,1,1,1
Hamas and the American Left The Jewish,0,0,1
Israeli Shlichim bring a taste of Israel to Camp By the SeaJewish Community Voice,0,0,1
Ulysses group promote white nationalism at MU,0,1,0
"Yes, governors of blue states need to work together. And is the only language T M speak and hear.",0,0,1
Donald Trump woos caucusgoers in Coralville before Iowa,0,0,1
Teetering between socialist zealot union agent and psychologist as future career choices,0,1,0
and what do the asylum seekers say?,0,0,1
"Got an ice cream machine, made some ice cream",0,0,1
Early Voting for the Tennessee primary opens tomorrow July 15th!,0,0,1
MAGA is the party of grievances. MAGA hates Americans.,1,1,1
You work for the IDF?,0,0,1
"Predictably good stuff from . ""Starmers key contribution was to demonstrate that the most effective attack against populism was not ideological. It was",0,0,1
Werent they here legally as asylum seekers?,0,0,1
thinking about the girl that shouted free Palestine when I told her im Pakistani,0,0,1
Crazy an Israeli is calling me inbred. You motherfuckers are inbred Europeans. Israeli doesnt exist.,1,1,1
"Stay in line at your polling places, Kansas friends! The lives of women and young girls depend on your NO vote.",0,0,1
Tucker Carlson proves he is fake newsMidland Daily,0,1,0
"I think ""deal with it"" is literally what the second amendment is about. Do I misunderstand?",1,0,0
HELLO Propaganda Machine ! wave,0,1,0
Donald Trumps Abusive Judicial Conduct Complaint,0,1,0
For services to War crimes,1,0,0
What would you call money given to Beyoncé and co by Kamala Harris,0,0,1
Or being brushed off as all human shields,1,1,1
KS Democrats seek change to search warrant law after Kansas City Star,0,0,1
Never saw Mike Pence do this.,0,0,1
Republicans want to defund public schools AND make public schools polling places? And invite bomb threats on schools? WTF. azmirror.combriefstena...,1,1,1
"For whom, Trump or MSNBC ?",0,0,1
"Perhaps if we call it the War of Russian Aggression, the southern GOP will get behind supporting Ukraine.",1,1,1
The fullscale invasion became a catalyst for Ukrainians to return to these traditions as a way of selfidentification and a weapon against Russian aggression.,0,0,1
"""Well said. Multiculturalism enriches societies, and figures like Farage thrive on fear and misinformation. Heres to calling out divisiveness and celebrating diversity instead.""",0,1,0
Zionism creates antisemitism. Zionists create antisemites.,1,1,1
Really good and easy read. Talks about State Capitalism vs Free Market Capitalism. It was written in 2010 I think,0,0,1
